2020 date,City,State,Dead,Injured,Total,Description
12/31/20,Indianapolis(5),Indiana,1,3,4,A shooting unfolded outside a nightclub on New Year's Eve that killed a man and sent three others to the hospital.[13]
12/31/20,Happy Valley,Oregon,0,4,4,Four people were wounded after a shooting at a party. All four are expected to survive.[14]
12/26/20,Lynn (2),Massachusetts,1,5,6,Six people were wounded in an evening shooting. One of the victims later died at the hospital.[15]
12/26/20,Rockford (5),Illinois,3,3,6,Don Carter Lanes shooting: Three people are killed and three others injured in a shooting at a bowling alley. The shooter is believed to have selected his victims at random. A person of interest has been taken into custody by authorities.[16]
12/26/20,Tampa (5),Florida,2,2,4,Two men were killed and two injured in an early morning targeted shooting in Ybor City.[17]
12/26/20,Miami (5),Florida,1,3,4,Three adults and a juvenile were wounded in an afternoon drive-by shooting. One of the wounded later died at the hospital.[18]
12/25/20,Boynton Beach (2),Florida,1,4,5,Four people were injured and one was killed after a shooting on Christmas Day.[19]
12/25/20,Atkins,Arkansas,5,0,5,"Five females aged between eight and fifty; three were children, were found killed by a family member. Police believe it was domestic related.[20]"
12/24/20,Lakeland,Florida,1,4,5,"After a teenager got into a conflict with another group, four people were injured and one was killed after a shooting at the teenager's home.[21]"
12/22/20,Meridian,Mississippi,5,0,5,Four individuals were discovered killed in three separate homes after wellness checks were called for them. The perpetrator died of a self inflicted gunshot wound.[22]
12/20/20,Mayfield,Kentucky,4,0,4,"A wife, husband, and two children were fatally shot inside of their home.[23]"
12/20/20,Bridgeport(3),Connecticut,2,2,4,Two men were killed at a sports bar in an apparent targeted shooting. Two innocent bystanders were wounded.[24]
12/19/20,Chicago(53),Illinois,0,6,6,"Six people were wounded after someone walked into and opened fire inside a South Side beauty salon in the Burnside neighborhood, shortly after midnight. The salon was hosting an after hours party.[25]"
12/18/20,Philadelphia(27),Pennsylvania,0,4,4,Three men and a woman were shot in the Kingsessing neighborhood. Cocaine and firearms were recovered on the scene.[26]
12/14/20,St. Louis(11),Missouri,0,4,4,Following a dispute outside of a restaurant four were people shot.[27]
12/13/20,Elkview,West Virginia,4,0,4,"A family member discovered two parents and two children, aged 12 and 13-years-old, killed in their home. The killer was reportedly a third teenaged child of the family.[28]"
12/12/20,San Bernardino(2),California,1,3,4,A man was killed and three others wounded in an early morning shooting.[29]
12/12/20,Copiague,New York,1,3,4,A man was killed and three others were wounded inside a deli.[30]
12/12/20,New York City (23),New York,0,4,4,Four men were wounded in an afternoon shooting in the Boerum Hillneighborhood of Brooklyn.[31]
12/12/20,Landover,Maryland,1,3,4,A man was killed and three others wounded at a large early morning gathering.[32]
12/10/20,Tifton,Georgia,0,4,4,Four people were wounded near the Charles Spencer Elementary School during school hours. No students were harmed or in danger.[33]
12/10/20,Jackson (Ms) (6),Mississippi,0,5,5,Five men were wounded in a late night shooting. They were playing dice outside an apartment complex when a man drove up and started shooting. The man chased them through the complex before fleeing.[34]
12/10/20,Metairie,Louisiana,2,2,4,Two people were killed and two wounded in a parking lot after an SUV pulled into it.[35]
