2021 date,City,State,Dead,Injured,Total,Description
4/29/21,Atlanta (5),Georgia,1,4,5,One person is dead and at least four other people were injured after a shooting at a southwest Atlanta home on Thursday evening in what police are describing as a drive-by shooting.[19]
4/28/21,Miami (4),Florida,0,5,5,Five people were injured late Wednesday in a shooting incident at a Miami home.[20]
4/28/21,Boone,North Carolina,5,0,5,Two deputies were killed and three other people including a suspected gunman were found dead after a standoff.[21]
4/27/21,Fairfield,Alabama,1,4,5,A shooting left at least one person dead and four more injured.[22]
4/27/21,Richmond (2),Virginia,2,3,5,A 3-month-old and her mother are dead after being caught in the crossfire between two groups while three others are recovering after being shot.[23]
4/26/21,Gresham (3),Oregon,0,7,7,Seven people were shot during a vigil for a shooting victim.[24]
4/25/21,Houma,Louisiana,0,5,5,A shooting at a Houma nightclub left five people injured.[25]
4/25/21,Phenix City,Alabama,0,4,4,An overnight shooting left four people injured at an outdoor party.[26]
4/25/21,Little Rock,Arkansas,1,3,4,A drive-by shooting left one person dead and three others injured at Cheatham Park.[27]
4/25/21,Kansas City,Missouri,1,3,4,A man is dead and three more are injured after a quadruple shooting in the city’s historic jazz district.[28]
4/25/21,Palestine,Texas,0,4,4,A shooting that occurred at a local night club left four people injured.[29]
4/24/21,New Orleans(3),Louisiana,0,5,5,Five people were wounded in a shooting on Bourbon Street.[30]
4/22/21,San Diego(2),California,1,4,5,A man was arrested after two overnight shootings in downtown San Diegoleft one person dead and four others injured.[31]
4/19/21,Houston (9),Texas,2,3,5,"Five people were shot, two fatally, early Monday in Independence Heights.[32]"
4/19/21,Atlanta (4),Georgia,0,5,5,"Five people were wounded, one critically, at an apartment complex in southwest Atlanta.[33]"
4/18/21,Austin,Texas,3,0,3,"The three victims in a domestic disturbance included shooter's ex-wife, his adoptive daughter, and his daughter's boyfriend.[34] Suspect captured without incident.[relevant? – discuss]"
4/18/21,Montgomery,Alabama,1,4,5,"A shooting over the weekend left four people injured, including juveniles, and one woman dead.[35]"
4/18/21,Shreveport(3),Louisiana,0,5,5,Five victims have shown up at a Shreveport hospital in connection with a shooting on Hearne Avenue.[36]
4/18/21,Detroit (4),Michigan,1,5,6,"Police were investigating a shooting that wounded five, as well as a fatal car crash nearby, when a man drove through the crime scene and later fired at officers. Officers then fired back, killing the man. It is not known if this man was connected to the earlier shooting.[37]"
